set_point,correction
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
55,900
55,1000
